#DateTime,Succeeded,IsCodeInsight
2009-09-20 11:11:47.437,1,1
2009-09-20 11:12:01.656,1,1
2009-09-20 11:12:07.343,1,1
2009-09-20 11:12:08.765,1,1
2009-09-20 11:12:20.093,1,1
2009-09-20 11:14:49.250,1,1
2009-09-20 11:16:08.375,1,1
2009-09-20 11:16:21.250,1,1
2009-09-20 11:16:25.718,1,1
2009-09-20 11:16:35.609,1,1
2009-09-20 11:16:37.546,1,1
2009-09-20 11:18:34.015,1,1
2009-09-20 11:19:27.609,1,1
2009-09-20 11:20:03.609,1,1
2009-09-20 11:20:08.328,1,1
2009-09-20 11:20:32.343,1,1
2009-09-20 11:20:45.546,1,1
2009-09-20 11:20:54.125,1,1
2009-09-20 11:21:38.921,1,1
